,INDEX,Date,Id,Loc.x,Loc.y,Loc.z,Hostility,Hit,Heart Rate,Emg0,Emg1,Emg2,Emg3,Emg4,Emg5,Emg6,Emg7,Arm.Roll,Arm.Pitch,Arm.Heading,Shot,Body.Heading,Body.Roll,Body.Pitch,Head.Heading,Head.Roll,Head.Pitch
8180,1433,2018-04-21 18:04:40.436,101,180,420,36,1,0,,,,,,,,,,,,,,,,,,,
8195,61344,2018-04-21 18:04:42.206,1,144,316,174,0,0,0.0,95.0,322.0,951.0,758.0,193.0,232.0,84.0,108,919.0,-12290.0,10796.0,1.0,287.5625,7.25,-73.9375,287.5625,7.25,-73.9375
8196,1434,2018-04-21 18:04:42.265,101,180,420,36,0,1,,,,,,,,,,,,,,,,,,,
